online_order,book_table,votes,rest_type,cuisines,cost,menu_item,type,city
1,0,0,78,1215,300.0,8778,2,17
0,0,21,78,75,450.0,8778,4,17
1,1,409,10,1361,1600.0,1809,4,21
0,1,2075,69,1110,1200.0,8778,4,12
1,1,476,27,1945,1700.0,8778,2,27
1,0,20,78,2381,200.0,8778,2,27
1,0,1084,82,1168,550.0,48,4,20
1,0,734,40,1153,300.0,8778,3,11
1,0,52,78,465,600.0,8778,2,28
1,0,19,78,2469,200.0,8778,2,1
0,1,2051,27,2080,1600.0,8778,4,27
0,1,450,27,1761,650.0,8778,2,17
1,0,123,78,535,500.0,8778,4,8
0,1,479,60,1346,3000.0,8778,5,21
1,1,1943,27,2608,2100.0,8778,2,27
1,0,48,78,847,250.0,7934,2,14
1,1,198,27,1488,1600.0,8778,2,11
1,0,48,19,752,600.0,642,1,24
0,0,345,40,1449,400.0,8778,3,1
0,0,62,78,1215,200.0,8778,2,20
1,1,629,27,61,1100.0,4487,4,20
1,0,382,19,2258,500.0,8778,2,7
0,0,4,78,1834,350.0,8778,2,2
1,0,91,0,286,200.0,8778,3,8
1,0,81,0,263,400.0,8778,2,6
1,0,47,40,1181,400.0,1025,4,13
1,0,420,27,2346,800.0,8778,2,14
1,1,24,27,1636,850.0,5014,4,14
1,0,114,20,578,450.0,8778,2,11
1,0,0,78,950,300.0,8265,2,16
1,0,106,39,1392,600.0,8778,2,0
0,0,82,93,1591,550.0,8778,4,6
0,0,0,39,2381,300.0,8778,2,20
0,1,221,10,996,2000.0,8778,5,25
0,0,10,78,1808,500.0,8778,4,25
0,0,1047,78,1486,450.0,8778,4,3
0,1,680,28,2407,1200.0,8778,6,5
0,0,1408,76,987,1000.0,8778,4,17
1,0,11,78,2469,200.0,8778,2,13
1,0,44,78,1834,300.0,7045,2,2
0,0,15,27,977,1000.0,8778,4,13
1,0,34,27,70,500.0,8778,2,4
1,0,73,78,1951,350.0,8102,2,7
1,1,2182,10,1879,1400.0,8778,2,4
0,0,4,19,588,500.0,8778,2,6
1,0,5,0,254,150.0,3437,2,6
1,0,0,53,1717,200.0,8778,2,16
0,0,12,27,944,700.0,8778,4,4
0,0,0,78,2537,100.0,8778,4,15
0,1,1237,63,986,1500.0,8778,5,17
1,0,265,27,950,850.0,8233,4,21
1,0,70,17,361,250.0,8778,2,0
1,0,41,40,1178,150.0,4543,4,5
1,0,17,78,1256,200.0,8176,2,23
1,0,136,27,511,700.0,8778,2,8
1,1,578,61,1023,1000.0,8778,2,29
0,0,31,78,2497,300.0,8778,2,26
1,0,44,19,681,300.0,8778,3,10
0,1,375,25,559,1000.0,8778,4,18
1,0,74,78,2474,300.0,7658,2,3
1,0,162,39,1857,500.0,8778,2,12
1,0,6,41,1155,300.0,8778,2,28
1,1,297,27,1386,1000.0,803,2,9
0,0,17,28,543,1000.0,8778,5,8
1,0,51,78,388,250.0,3428,2,27
0,0,31,93,2537,150.0,8778,4,13
1,0,126,27,492,600.0,1730,4,16
0,0,9,92,1338,200.0,8778,2,12
1,0,209,78,1754,550.0,7238,2,9
1,0,211,16,1164,400.0,8778,2,13
1,0,635,40,1449,400.0,7911,2,9
0,0,22,17,338,350.0,8778,1,9
0,1,32,27,1834,1000.0,8778,0,16
0,0,38,78,1537,250.0,8778,4,11
0,0,0,78,1951,555.4315664,8778,2,18
0,0,0,93,2353,400.0,8778,4,20
1,0,1096,27,1597,1300.0,3745,4,5
0,0,5,39,1857,600.0,8778,2,28
1,0,0,39,388,300.0,8778,2,29
0,0,0,0,254,300.0,8778,3,16
1,0,7,17,2594,200.0,8778,2,0
0,0,103,8,1346,1500.0,8778,4,0
0,0,108,19,675,700.0,8778,1,3
1,0,19,78,2579,300.0,8778,4,27
1,0,229,82,2219,250.0,8778,2,11
1,0,18,65,1388,200.0,8778,2,2
1,0,37,19,587,650.0,8500,4,28
1,0,0,92,695,200.0,3482,2,27
1,0,87,19,675,700.0,8778,1,19
1,0,9,19,557,300.0,8778,1,21
0,1,2241,27,956,1100.0,8778,2,0
1,0,28,27,1657,600.0,8778,4,17
0,0,13,78,2474,300.0,8778,4,23
