Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,lon,lat,Cuisines,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
World Cafe - Vibe by The LaLiT Traveller,1,Faridabad,"Vibe by The Lalit Traveller, 12/7, Sector 35, Faridabad","Vibe by The LaLit Traveller, Mathura Road","Vibe by The LaLit Traveller, Mathura Road, Faridabad",77.30607320000001,28.472912400000002,"North Indian, Continental, Chinese",1900,Indian Rupees(Rs.),Yes,No,No,No,3,3.3,Orange,Average,56
Gabbar Chowmein,1,New Delhi,"Pipal Chowk Road, Som Bazaar Chowk, Mohan Garden, Uttam Nagar, New Delhi",Uttam Nagar,"Uttam Nagar, New Delhi",77.03908879999999,28.621372499999996,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average,4
Mittal Bikaneri Sweets,1,Noida,"A 2/22, Main Market, Sector 110, Noida",Sector 110,"Sector 110, Noida",77.38711596,28.53319412,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Bikaner Sweets & Restaurant,1,New Delhi,"R-3, Rita Block, Main Market, Shakarpur, New Delhi Shakarpur",Shakarpur,"Shakarpur, New Delhi",77.282282,28.6328078,"Desserts, North Indian",250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Chawla's Tandoori Xpress,1,New Delhi,"2 & 3, DDA Commercial Complex, Road 44, Fountain Chowk, Rani Bagh, Pitampura, New Delhi",Pitampura,"Pitampura, New Delhi",77.1351688,28.688000899999995,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,2.5,Orange,Average,75
Cafe Coffee Day,1,Noida,"IT Towers, Plot 24, Sector 16-A, Near Sector 16, Sector 16, Noida",Sector 16,"Sector 16, Noida",0.0,0.0,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,2
The Artesian Restaurant,216,Ojo Caliente,"Ojo Caliente Mineral Springs Resort And Spa 50 Los Banos Rd, Ojo Caliente, NM 87549",Ojo Caliente,"Ojo Caliente, Ojo Caliente",-106.057666,36.313638,"American, International, Southwestern",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,30
Taco Bus,216,Tampa Bay,"913 E Hillsborough Ave, Tampa, FL 33604",Seminole Heights,"Seminole Heights, Tampa Bay",-82.44989699999999,27.995964,"Mexican, Vegetarian",10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent,1868
New Town Lounge & Bar - Park Plaza,1,Gurgaon,"Park Plaza Hotel, B Block, Sushant Lok 1, Sushant Lok, Gurgaon","Park Plaza, Sushant Lok","Park Plaza, Sushant Lok, Gurgaon",77.0756484,28.459261100000003,"Continental, Finger Food",3000,Indian Rupees(Rs.),Yes,No,No,No,4,3.4,Orange,Average,20
Rajan Corner,1,New Delhi,"6/27, Moti Nagar, New Delhi",Moti Nagar,"Moti Nagar, New Delhi",77.1414608,28.6587838,South Indian,400,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,20
