Restaurant_Name,City,Address,Locality,Locality Verbose,lon,lat,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Evergreen Food Corner,New Delhi,"55, A Block Market, Mayur Vihar Phase 2, New Delhi",Mayur Vihar Phase 2,"Mayur Vihar Phase 2, New Delhi",77.2979348,28.6191348,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
Spice Cube,Ludhiana,"Near Gate 1, Kartar Bhawan, Ferozepur Road, PAU, Ludhiana",PAU,"PAU, Ludhiana",75.80934606,30.89958432,1000,Indian Rupees(Rs.),No,No,No,No,3,3,Yellow,Good,116
Diamond Thai Cuisine,Sioux City,"515 W 7th St, Sioux City, IA 51103",Sioux City,"Sioux City, Sioux City",-96.4136,42.5011,10,Dollar($),No,No,No,No,1,4,Green,Very Good,303
Aazad Chicken Corner,New Delhi,"S-12, Green Park Extension, Green Park, New Delhi",Green Park,"Green Park, New Delhi",77.2057995,28.5584086,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Sandoz,New Delhi,"DB Gupta Road, Karol Bagh, New Delhi",Karol Bagh,"Karol Bagh, New Delhi",77.19053082,28.65404367,550,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,56
Kake Di Hatti,New Delhi,"G-20, Near Traffic Signal, Vijay Nagar, New Delhi",Vijay Nagar,"Vijay Nagar, New Delhi",77.2036388,28.6949624,400,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,314
Behrouz Biryani,New Delhi,"Lajpat Nagar 2, New Delhi",Lajpat Nagar 2,"Lajpat Nagar 2, New Delhi",77.24334420000001,28.569244,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,32
Budapest Kitchen & Bar,New Delhi,"Shop 13-17, Gate 3, Garden of Five Senses, Saidulajab, Saket, New Delhi",Saket,"Saket, New Delhi",77.19878934,28.5130132,1500,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,4
Brijwasi Restaurant,New Delhi,"379, Near Kucha Ghasi Ram, Chandni Chowk, New Delhi",Chandni Chowk,"Chandni Chowk, New Delhi",77.2243823,28.656851,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,39
d' Curry House,Aurangabad,"Hotel Green Olive, Near Baba Petrol Pump, Nirala Bazar, Aurangabad","Hotel Green Olive, Nirala Bazar","Hotel Green Olive, Nirala Bazar, Aurangabad",75.316722,19.875337,1000,Indian Rupees(Rs.),No,No,No,No,3,3,Yellow,Good,73
Sky Grill,Noida,"2nd Floor, Tulip Mall, Sector 48, Noida","Tulip Mall, Sector 48, Noida","Tulip Mall, Sector 48, Noida, Noida",77.3675243,28.5575368,700,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,34
Fisherman's Corner,Pensacola,"13486 Perdido Key Dr, Pensacola, FL 32507",Perdido Key,"Perdido Key, Pensacola",-87.427707,30.308467999999998,40,Dollar($),No,No,No,No,3,4,Green,Very Good,747
Bala Ji Rasoi,New Delhi,"A-18, Naresh Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",77.06247076,28.67583363,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Berco's,New Delhi,"2nd Floor, MGF Metropolitan Mall, Saket, New Delhi","MGF Metropolitan Mall, Saket","MGF Metropolitan Mall, Saket, New Delhi",77.22008220000001,28.529380199999995,1100,Indian Rupees(Rs.),No,Yes,No,No,3,3,Yellow,Good,565
Mahinder Food Corner,New Delhi,"Priya Complex, Vasant Vihar, New Delhi",Vasant Vihar,"Vasant Vihar, New Delhi",77.16458414,28.55775173,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Kanha Cake O' Pastry,Noida,"Shop GF-17, Block B, Omaxe NRI City Center, Omega II, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.51136148,28.46341884,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Starbucks,New Delhi,"1st Floor, Zing Food Court, Spark Mall, Kamla Nagar, New Delhi","Spark Mall, Kamla Nagar","Spark Mall, Kamla Nagar, New Delhi",77.20384263,28.68091678,700,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,147
Hungry - I,Noida,"20, A Block Market, Near Amity School, Sector 44, Noida",Sector 44,"Sector 44, Noida",77.3323527,28.5579975,550,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,431
Green Chilly Chinese Food,Faridabad,"Shop 100, Main HUDA Market, Sector 9, Faridabad",Sector 9,"Sector 9, Faridabad",77.33281170000001,28.3764571,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Snacks Parties,Noida,"Sector 41, Noida",Sector 41,"Sector 41, Noida",0.0,0.0,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Kitchen199,New Delhi,"A-199, Part 1, Gujranwala Town, New Delhi",Gujranwala Town,"Gujranwala Town, New Delhi",77.18396779999999,28.7006555,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
Swaad,Noida,"3, Food Court, Supertech Shopprix Mall, Sector 61, Noida","Supertech Shopprix Mall, Sector 61","Supertech Shopprix Mall, Sector 61, Noida",77.364878,28.597062100000006,600,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,15
Sagar Ratna,Allahabad,"3/3, Near Balson Crossing, Hashimpur Road, Tagore Town, Allahabad",Tagore Town,"Tagore Town, Allahabad",81.85968199999999,25.457116,400,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,134
Behrouz Biryani,Gurgaon,"Sector 53, Gurgaon","Central Plaza Mall, Golf Course Road","Central Plaza Mall, Golf Course Road, Gurgaon",77.1006623,28.443406899999996,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,36
