online_order,book_table,rate,votes,rest_type,cuisines,cost,menu_item,type,city
1,1,4.1,775,27,2091,800,8778,0,1
1,0,4.1,787,27,922,800,8778,0,1
1,0,3.8,918,22,743,800,8778,0,1
0,0,3.7,88,78,2469,300,8778,0,1
0,0,3.8,166,27,2119,600,8778,0,1
1,0,3.8,286,27,1761,600,8778,0,1
0,0,3.6,8,27,2139,800,8778,0,1
1,1,4.6,2556,29,2246,600,8778,1,1
1,0,4,324,19,719,700,8778,1,1
1,0,4.2,504,19,744,550,8778,1,1
1,0,4.1,402,19,557,500,8778,1,1
1,1,4.2,150,19,719,600,8778,1,1
1,1,4.2,164,19,615,500,8778,1,1
0,0,4,424,19,622,450,8778,1,1
1,0,3.8,918,22,743,800,8778,1,1
1,0,3.8,90,19,557,650,8778,1,1
1,0,3.9,133,19,692,800,8778,1,1
1,0,3.8,144,19,817,700,8778,1,1
0,0,3.9,93,19,713,300,8778,1,1
1,0,3.1,13,19,615,400,8778,1,1
1,0,3,62,19,700,400,8778,1,1
1,0,3.7,180,19,759,500,8778,1,1
0,0,3.6,28,19,685,900,8778,1,1
1,0,3.6,62,81,1491,600,8778,1,1
0,0,3.7,31,19,557,300,8778,1,1
0,0,3.2,11,19,578,600,8778,1,1
1,0,3.8,75,26,771,200,8778,1,1
0,0,3.3,4,19,686,500,8778,1,1
0,0,3.3,23,19,685,550,8778,1,1
0,0,3.8,148,29,1830,550,8778,1,1
1,0,4,219,19,712,600,8778,1,1
1,0,2.8,506,78,2021,500,8778,2,1
1,0,3.9,35,39,263,500,2792,2,1
1,0,3.9,172,39,2236,750,8778,2,1
1,0,4.2,415,78,1817,500,2907,2,1
1,0,3.9,230,39,388,650,8778,2,1
1,0,2.8,91,78,1888,400,8778,2,1
1,0,4.2,1647,27,956,600,8778,2,1
1,0,4.4,4884,27,2113,750,8778,2,1
1,0,4,17,78,2381,150,878,2,1
1,0,3.8,133,78,2556,200,8778,2,1
0,0,3.9,28,65,2381,300,8778,2,1
1,0,3.9,286,78,535,500,8778,2,1
1,0,3.9,540,78,2252,800,8778,2,1
1,1,4.6,2556,29,2246,600,8778,2,1
0,0,3.8,36,39,1996,400,8778,2,1
1,0,3.6,244,78,1834,300,271,2,1
1,0,4,804,27,1866,450,8188,2,1
1,0,3.7,679,27,950,850,8778,2,1
1,0,3.1,245,78,1923,300,8143,2,1
0,0,3.7,21,78,1761,450,8778,2,1
1,0,4.1,28,78,1339,150,8637,2,1
0,0,4.3,345,40,1449,400,8778,2,1
1,0,4,618,27,472,750,8778,2,1
0,0,4,1047,78,1486,450,8778,2,1
1,0,3.9,627,39,1400,450,18,2,1
1,0,3.8,104,78,429,300,8778,2,1
1,1,4.2,354,27,218,800,8778,2,1
0,0,3.6,55,78,1238,200,8778,2,1
1,0,3.7,17,40,1159,400,8778,2,1
0,0,4.2,244,27,1507,800,8778,2,1
1,1,3.6,163,27,1387,800,8778,2,1
1,0,3.8,58,78,792,150,8778,2,1
0,1,4,808,27,1834,850,8778,2,1
0,0,3.7,78,3,254,150,8778,2,1
1,0,4.1,1720,78,2055,400,8778,2,1
1,0,3.6,34,78,2381,100,7682,2,1
0,0,4.1,868,73,1074,1200,8778,2,1
0,0,3.8,39,0,263,300,8778,2,1
1,0,3.2,71,78,536,600,8778,2,1
1,0,3.6,6,92,1502,500,8778,2,1
0,0,4.1,520,78,414,300,8778,2,1
0,0,2.9,84,39,824,700,8778,2,1
0,0,3.6,299,78,1324,300,8778,2,1
1,0,4.1,558,78,2381,150,882,2,1
1,0,3.6,28,78,502,300,8778,2,1
0,0,3.7,22,78,1215,500,8778,2,1
0,0,3.8,39,78,2421,350,8778,2,1
1,0,3.8,153,49,2368,500,8778,2,1
1,0,4.2,146,14,341,400,8778,2,1
0,0,3.5,14,88,1699,200,8778,2,1
0,0,3.8,42,27,1834,700,8778,2,1
0,0,3.700448818,0,78,2410,100,8778,2,1
0,0,4,66,0,263,300,8778,2,1
1,0,4.4,4401,27,470,600,8778,2,1
0,0,3.5,31,78,1761,200,8778,2,1
0,0,3.5,7,40,1153,500,8778,2,1
0,0,3.7,21,78,388,250,8778,2,1
0,0,3.700448818,0,39,263,500,8778,2,1
0,0,3.700448818,0,92,2381,400,8778,2,1
0,0,3.700448818,0,65,2381,200,8778,2,1
0,0,3.2,9,40,1442,300,8778,2,1
0,0,2.6,283,27,1761,600,8778,2,1
0,0,3.3,62,8,2474,800,8778,2,1
0,0,3.8,64,78,1222,250,8778,2,1
0,0,3.7,39,27,2038,950,8778,2,1
0,0,3.7,65,78,1338,300,8778,2,1
1,0,3.8,71,40,1452,400,8778,2,1
0,0,3.5,52,78,2381,300,8778,2,1
0,0,3.7,130,78,2381,200,8778,2,1
0,0,3.5,10,78,2392,300,8778,2,1
0,0,3.8,45,92,254,400,8778,2,1
0,0,3.2,11,19,578,600,8778,2,1
0,0,3.5,13,0,263,300,8778,2,1
0,0,3.4,8,78,473,300,8778,2,1
0,0,3.700448818,0,92,330,250,8778,2,1
0,0,3.2,9,78,388,300,8778,2,1
0,0,3.2,4,78,1761,300,8778,2,1
0,0,3.1,29,78,1761,150,8778,2,1
0,0,3.4,8,0,263,400,8778,2,1
0,0,3.700448818,0,40,1686,150,8778,2,1
0,0,3.700448818,0,0,254,300,8778,2,1
0,0,3.700448818,0,78,2211,200,8778,2,1
0,0,3.700448818,0,92,2381,150,8778,2,1
0,0,3.700448818,0,40,1454,150,8778,2,1
0,0,3.700448818,0,78,1661,250,8778,2,1
0,0,3.1,30,8,880,1000,8778,2,1
1,0,4.1,201,78,2489,300,6003,2,1
0,0,3.3,7,78,1661,200,8778,2,1
0,0,3.1,6,78,1334,100,8778,2,1
0,0,3.3,17,78,2556,200,8778,2,1
0,0,2.9,25,40,1449,200,8778,2,1
0,0,3.700448818,0,39,2494,400,8778,2,1
0,0,3.700448818,0,78,428,350,8778,2,1
0,0,3.3,8,39,2381,100,8778,2,1
0,0,3.700448818,0,78,2296,150,8778,2,1
0,0,3.700448818,0,78,2381,150,8778,2,1
0,0,3.700448818,0,14,359,200,8778,2,1
0,0,3.700448818,0,17,350,150,8778,2,1
0,0,3.700448818,0,92,2381,400,8778,2,1
0,0,3.700448818,0,78,2410,150,8778,2,1
0,0,3.700448818,0,78,54,250,8778,2,1
0,0,3.700448818,0,78,388,250,8778,2,1
0,0,3.700448818,0,78,2392,150,8778,2,1
0,0,3.700448818,0,38,1153,200,8778,2,1
0,0,3.700448818,0,80,1407,350,8778,2,1
0,0,3.700448818,0,78,2392,300,8778,2,1
1,0,4,771,27,2474,450,7873,2,1
0,0,3,98,8,1834,800,8778,2,1
1,0,3.9,47,78,2381,200,4690,2,1
1,1,4.1,175,27,2476,500,4653,2,1
1,0,3.8,58,78,2425,300,6888,2,1
1,0,3.8,540,27,2053,650,8778,2,1
1,0,3.8,124,78,908,400,8778,2,1
1,0,4.1,340,92,2102,500,8778,2,1
1,0,3.8,505,78,535,450,8778,2,1
1,0,4.1,438,40,1180,500,8778,2,1
1,0,3.7,264,27,1860,750,8778,2,1
1,0,3.9,169,14,365,150,8778,2,1
1,0,3,67,78,1834,250,8778,2,1
1,0,3.7,97,78,2091,350,8778,2,1
1,0,3.3,12,92,388,300,8778,2,1
1,0,3.3,12,78,388,300,5169,2,1
1,0,3.6,195,27,934,800,8778,2,1
1,0,3.3,13,47,1185,300,8778,2,1
1,0,4.6,228,19,588,400,8778,2,1
1,0,4.1,70,78,2410,150,3010,2,1
1,1,4.1,364,27,2610,1200,8778,2,1
1,0,3.7,107,14,354,150,8778,2,1
1,0,3.2,167,78,2483,300,7263,2,1
1,0,4,115,88,1699,400,8778,2,1
1,0,3.7,27,92,1510,400,8778,2,1
1,0,3.5,57,78,388,200,8778,2,1
1,0,3.8,120,78,2024,250,8778,2,1
1,0,3.8,15,0,254,400,8778,2,1
1,0,4.2,64,78,2315,500,8778,2,1
1,0,3.6,66,78,2381,150,8778,2,1
1,0,3,290,78,1863,450,8778,2,1
1,0,4.1,233,78,2537,200,8778,2,1
1,0,3.8,115,78,1316,250,8778,2,1
1,0,3.1,119,27,391,700,8778,2,1
1,1,3.9,291,19,600,650,4783,2,1
1,0,4.5,155,14,375,300,8778,2,1
1,0,4.1,305,27,1467,700,8778,2,1
1,0,3.6,46,78,1288,500,8778,2,1
1,0,3.5,45,78,312,350,8778,2,1
1,0,3.9,38,40,1442,150,8778,2,1
1,0,3.9,441,78,2477,400,8778,2,1
1,0,3.9,25,78,2381,100,5481,2,1
1,0,4.3,630,78,2217,200,8778,2,1
1,0,3.8,25,78,2381,150,1246,2,1
1,0,3.9,160,78,119,300,8778,2,1
1,0,4.2,287,78,1761,350,8778,2,1
1,0,3.6,11,78,2381,100,251,2,1
1,0,4.1,402,19,557,500,8778,2,1
1,0,3.8,469,27,1856,750,8778,2,1
1,0,3.3,511,27,239,550,8778,2,1
1,0,3.9,57,78,2489,200,4738,2,1
1,0,3.4,14,78,2381,300,8778,2,1
1,0,3.9,264,78,2381,200,8778,2,1
1,0,3,62,19,700,400,8778,2,1
1,0,3.8,693,27,2252,750,8778,2,1
1,0,3.8,242,27,1654,650,8778,2,1
1,0,3.6,27,40,1215,250,8778,2,1
1,0,4.1,163,78,1050,500,8778,2,1
1,0,4.2,191,78,2556,250,6886,2,1
1,0,3.5,32,78,2269,150,8778,2,1
1,0,2.5,247,27,1761,500,8778,2,1
1,1,4.1,2339,27,1852,1500,8778,2,1
1,0,4.1,337,78,839,300,8778,2,1
1,0,3.9,135,27,1872,800,8778,2,1
1,0,3.6,172,27,1834,700,8778,2,1
1,0,3.6,105,27,2629,700,8778,2,1
1,0,4.2,504,19,744,550,8778,2,1
1,0,3.2,36,78,1338,200,8778,2,1
1,0,3.1,39,78,1761,300,8778,2,1
1,0,3.1,5,27,1863,500,8778,2,1
1,0,3.700448818,0,78,1834,300,8778,2,1
1,1,4.3,1129,27,1517,1300,8778,2,1
1,0,3.9,56,78,1834,350,8778,2,1
1,0,4.3,860,40,1178,500,8778,2,1
1,0,3.8,412,27,106,700,8778,2,1
1,1,3.9,142,27,1658,1000,8778,2,1
1,0,3,23,78,54,400,8778,2,1
1,0,3.6,143,27,2395,750,8778,2,1
1,1,2.8,80,27,2386,500,8778,2,1
1,0,3.6,16,27,2381,400,8778,2,1
1,0,4.4,181,14,382,250,8778,2,1
1,0,3.8,70,78,2211,200,8778,2,1
1,0,3.8,164,78,2256,600,8778,2,1
1,0,3.6,58,78,597,650,8778,2,1
0,0,3.8,148,29,1830,550,8778,2,1
0,0,3.9,206,78,2463,450,8778,2,1
0,0,3.700448818,0,0,263,300,8778,2,1
0,0,3.700448818,0,40,1442,200,8778,2,1
0,0,3.6,16,78,2381,300,8778,2,1
0,0,3.7,217,27,1956,450,8778,2,1
0,0,3.6,46,78,109,450,8778,2,1
0,0,3.8,148,78,1338,150,8778,2,1
0,0,3.4,30,40,1153,250,8778,2,1
0,0,3.6,8,27,2139,800,8778,2,1
0,0,3.3,4,78,2381,250,8778,2,1
0,0,3.5,15,6,254,400,8778,2,1
0,0,3.700448818,0,78,2381,100,8778,2,1
0,0,3.700448818,0,78,1834,300,8778,2,1
0,0,3.700448818,0,78,2157,200,8778,2,1
1,0,3.4,9,78,2537,200,8778,2,1
0,0,3.700448818,0,78,1857,350,8778,2,1
1,0,3.7,31,78,2469,300,239,2,1
1,0,2.9,177,27,1859,700,8778,2,1
1,0,3.7,22,88,1689,250,8778,2,1
1,0,3.5,10,14,1530,100,5214,2,1
1,0,3.7,136,78,2309,600,8778,2,1
1,0,2.9,35,78,1834,250,8778,2,1
1,0,4.1,185,78,1535,200,8778,2,1
1,0,3.2,17,19,685,900,8778,2,1
1,0,3.8,155,27,2489,400,8778,2,1
1,0,3.8,42,78,2474,300,5057,2,1
1,0,3.8,286,27,1761,600,8778,2,1
1,0,3.8,160,27,1834,700,8778,2,1
1,0,3.8,59,27,1834,750,8778,2,1
1,0,3.5,90,27,2344,500,8778,2,1
1,0,3.7,51,78,2463,350,8778,2,1
1,0,4,89,78,2391,200,8778,2,1
1,0,3.6,18,78,1321,250,8778,2,1
1,0,3.9,40,27,1955,600,8778,2,1
1,0,2.5,35,78,1215,200,8778,2,1
1,0,3.4,89,78,1939,250,8778,2,1
1,0,3.2,11,78,343,150,8778,2,1
1,0,3.6,62,81,1491,600,8778,2,1
1,0,3.9,33,40,1153,300,8778,2,1
1,0,3.8,32,88,1185,250,8778,2,1
1,0,4.1,139,27,1951,550,8778,2,1
1,0,3.2,154,78,1215,300,8778,2,1
1,0,3.6,14,0,263,350,8778,2,1
1,0,3.7,237,78,2436,200,5484,2,1
1,0,3.9,388,27,490,650,8778,2,1
1,0,3.9,128,27,2433,500,164,2,1
1,1,4.1,1875,27,1764,1200,8778,2,1
1,0,3.8,90,19,557,650,8778,2,1
1,0,3.1,7,78,1482,250,4294,2,1
1,0,3.7,38,27,2469,400,6510,2,1
1,0,4.2,179,39,2236,600,8778,2,1
1,0,4,43,40,1178,250,8778,2,1
1,0,4.3,275,78,2381,100,4709,2,1
1,0,3.7,323,27,956,850,8778,2,1
1,0,3.1,28,27,2474,400,4716,2,1
1,0,3.9,18,78,2447,200,8778,2,1
1,0,3.3,6,78,2556,100,8778,2,1
1,0,3.700448818,0,40,330,100,8778,2,1
1,0,4.3,322,27,2381,400,8778,2,1
1,0,2.6,157,19,574,450,8778,2,1
1,0,3.9,543,78,2436,300,4729,2,1
1,0,3.7,180,19,759,500,8778,2,1
1,0,4.2,444,78,2381,100,6785,2,1
1,0,3.9,134,78,2578,400,7264,2,1
1,0,3.8,577,27,2148,900,8778,2,1
1,0,4.2,60,78,2489,200,173,2,1
1,0,3.9,144,27,1939,550,8778,2,1
1,0,4.1,787,27,922,800,8778,2,1
1,0,3.6,16,78,2381,200,7875,2,1
1,0,3.6,84,78,2474,250,179,2,1
1,0,3.6,95,78,2518,150,5670,2,1
1,1,4,349,27,2339,1200,8778,2,1
1,0,3.7,248,78,2012,400,8778,2,1
1,0,4.1,216,19,632,500,8778,2,1
1,0,3.700448818,0,27,388,400,8778,2,1
1,0,4,324,19,719,700,8778,2,1
1,0,2.6,231,78,1942,400,7701,2,1
1,0,3.4,102,27,2476,400,1252,2,1
1,0,3.9,133,19,692,800,8778,2,1
1,0,2.8,45,27,2264,800,8778,2,1
1,0,3.9,149,78,1264,300,8778,2,1
1,0,3.8,75,78,1256,200,8778,2,1
1,0,4,53,39,1683,600,8778,2,1
1,1,4.2,815,27,1834,900,8778,2,1
1,1,4,633,27,1834,800,8778,2,1
1,0,3.5,56,40,1451,400,8778,2,1
1,0,3,82,78,2489,300,6896,2,1
1,0,3.7,35,78,1215,200,8778,2,1
1,0,3.6,20,78,1537,150,515,2,1
1,0,3.1,14,78,2432,250,8778,2,1
1,0,3.9,70,40,1277,400,8778,2,1
1,0,3.9,91,19,688,300,8778,2,1
1,0,3.6,45,78,388,200,8778,2,1
1,0,3.4,7,78,1834,250,8778,2,1
1,0,3.8,28,78,1215,150,8778,2,1
1,0,3.6,24,27,1834,600,8778,2,1
1,0,3.8,36,40,1186,200,8778,2,1
1,0,3.5,11,78,1215,200,8778,2,1
1,0,3.8,77,19,644,650,8778,2,1
1,0,3.2,8,88,1699,100,8778,2,1
1,0,3.7,14,78,2381,100,511,2,1
1,0,3.8,210,27,1888,600,8778,2,1
1,0,4.1,130,19,731,650,8778,2,1
1,0,4.1,30,14,382,100,8778,2,1
1,0,3.8,144,19,817,700,8778,2,1
1,0,3.4,11,8,2130,800,8778,2,1
1,0,3.7,133,27,954,700,8778,2,1
1,0,4,136,78,2436,350,2922,2,1
1,0,3.1,4,78,2474,200,8778,2,1
1,0,3.5,11,90,1698,200,8778,2,1
1,0,3.8,74,78,2474,300,8778,2,1
1,0,3.7,30,78,2497,300,8778,2,1
1,0,3,7,78,2401,200,8778,2,1
1,0,3.8,75,26,771,200,183,2,1
1,0,3.7,54,19,588,600,8778,2,1
1,0,3.6,23,59,339,100,8778,2,1
1,0,3.2,119,27,1834,400,8778,2,1
1,0,3.7,73,78,429,400,8778,2,1
1,0,3.4,58,19,685,400,8778,2,1
1,0,3.6,129,27,1656,600,8778,2,1
1,0,3.6,24,78,419,250,8778,2,1
1,0,3,175,78,880,400,8778,2,1
1,0,3.7,21,78,2381,300,8778,2,1
1,0,3.5,41,58,2254,400,8778,2,1
1,0,3.6,35,78,2359,300,8778,2,1
1,0,4.1,176,27,95,800,8778,2,1
1,0,3.5,45,14,356,300,8778,2,1
1,0,3.7,47,82,1275,400,8778,2,1
1,1,3.7,36,27,910,650,8778,2,1
1,0,3.8,52,17,343,400,6933,2,1
1,0,2.7,123,78,1215,200,8778,2,1
1,0,3.6,59,27,1761,700,8778,2,1
1,0,3.2,4,78,2392,300,8778,2,1
1,0,3.8,101,78,429,400,8778,2,1
1,0,3.7,54,16,1164,400,8778,2,1
1,0,3.700448818,0,78,2381,200,8778,2,1
1,0,3.6,22,78,1215,200,8778,2,1
1,0,3.1,31,91,2294,250,8778,2,1
1,0,3,29,19,688,500,8778,2,1
1,0,3.4,6,14,330,100,8778,2,1
1,0,3,22,78,2474,250,7870,2,1
1,0,2.9,11,78,1761,500,8778,2,1
1,0,3.9,101,78,2381,150,8778,2,1
1,1,4.1,442,76,1058,1200,8778,2,1
1,0,3.5,155,78,429,400,8778,2,1
